[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 8
[INFO: Main      ] Link-layer address: 0012.7408.0008.0808
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:7408:8:808
[INFO: Sky       ] CC2420 CCA threshold -45
source, node_id: 8, sample: 31, mean: 47.622, variance: 802.759, msg_id: 61 , time: 237991925 #
source, node_id: 8, sample: 84, mean: 48.209, variance: 810.810, msg_id: 62 , time: 242140355 #
source, node_id: 8, sample: 32, mean: 47.952, variance: 802.045, msg_id: 63 , time: 245343406 #
source, node_id: 8, sample: 32, mean: 47.703, variance: 793.427, msg_id: 64 , time: 249444967 #
source, node_id: 8, sample: 93, mean: 48.400, variance: 812.301, msg_id: 65 , time: 254163750 #
source, node_id: 8, sample: 76, mean: 48.818, variance: 811.361, msg_id: 66 , time: 257452789 #
source, node_id: 8, sample: 27, mean: 48.492, variance: 806.249, msg_id: 67 , time: 261109099 #
source, node_id: 8, sample: 79, mean: 48.941, variance: 807.878, msg_id: 68 , time: 265226199 #
source, node_id: 8, sample: 92, mean: 49.565, variance: 822.651, msg_id: 69 , time: 268773059 #
source, node_id: 8, sample: 47, mean: 49.528, variance: 810.992, msg_id: 70 , time: 273093413 #
source, node_id: 8, sample: 12, mean: 49.000, variance: 819.126, msg_id: 71 , time: 277405246 #
source, node_id: 8, sample: 39, mean: 48.861, variance: 809.119, msg_id: 72 , time: 282304414 #
source, node_id: 8, sample: 50, mean: 48.876, variance: 798.053, msg_id: 73 , time: 286554268 #
source, node_id: 8, sample: 28, mean: 48.594, variance: 793.078, msg_id: 74 , time: 290140231 #
source, node_id: 8, sample: 9, mean: 48.066, variance: 803.129, msg_id: 75 , time: 293530664 #
source, node_id: 8, sample: 75, mean: 48.421, variance: 801.980, msg_id: 76 , time: 297569975 #
source, node_id: 8, sample: 25, mean: 48.116, variance: 798.596, msg_id: 77 , time: 300976293 #
source, node_id: 8, sample: 30, mean: 47.884, variance: 792.512, msg_id: 78 , time: 305843465 #
source, node_id: 8, sample: 12, mean: 47.430, variance: 798.574, msg_id: 79 , time: 309140347 #
source, node_id: 8, sample: 64, mean: 47.637, variance: 791.980, msg_id: 80 , time: 312210656 #
source, node_id: 8, sample: 15, mean: 47.234, variance: 795.191, msg_id: 81 , time: 316945014 #
source, node_id: 8, sample: 84, mean: 47.682, variance: 801.777, msg_id: 82 , time: 320202802 #
source, node_id: 8, sample: 71, mean: 47.963, variance: 798.588, msg_id: 83 , time: 324202856 #
source, node_id: 8, sample: 97, mean: 48.547, variance: 817.366, msg_id: 84 , time: 328538709 #
source, node_id: 8, sample: 31, mean: 48.341, variance: 811.330, msg_id: 85 , time: 331679408 #
source, node_id: 8, sample: 107, mean: 49.023, variance: 841.441, msg_id: 86 , time: 336468481 #
source, node_id: 8, sample: 82, mean: 49.402, variance: 844.125, msg_id: 87 , time: 340046554 #
source, node_id: 8, sample: 63, mean: 49.556, variance: 836.610, msg_id: 88 , time: 344023153 #
source, node_id: 8, sample: 102, mean: 50.146, variance: 857.765, msg_id: 89 , time: 348116992 #
source, node_id: 8, sample: 93, mean: 50.622, variance: 868.412, msg_id: 90 , time: 351421561 #
source, node_id: 8, sample: 68, mean: 50.813, variance: 862.151, msg_id: 91 , time: 355905914 #
source, node_id: 8, sample: 23, mean: 50.510, variance: 861.097, msg_id: 92 , time: 360898070 #
source, node_id: 8, sample: 100, mean: 51.043, variance: 877.890, msg_id: 93 , time: 364820015 #
source, node_id: 8, sample: 97, mean: 51.531, variance: 890.781, msg_id: 94 , time: 369015290 #
source, node_id: 8, sample: 54, mean: 51.557, variance: 881.467, msg_id: 95 , time: 372702850 #
source, node_id: 8, sample: 69, mean: 51.739, variance: 875.421, msg_id: 96 , time: 376476247 #
source, node_id: 8, sample: 16, mean: 51.371, variance: 879.428, msg_id: 97 , time: 379804416 #
source, node_id: 8, sample: 102, mean: 51.887, variance: 896.344, msg_id: 98 , time: 384265435 #
source, node_id: 8, sample: 74, mean: 52.111, variance: 892.179, msg_id: 99 , time: 388030930 #
source, node_id: 8, sample: 58, mean: 51.650, variance: 910.547, msg_id: 100 , time: 391945386 #
source, node_id: 8, sample: 71, mean: 52.119, variance: 906.425, msg_id: 101 , time: 396726289 #
source, node_id: 8, sample: 73, mean: 52.310, variance: 910.713, msg_id: 102 , time: 400468525 #
source, node_id: 8, sample: 75, mean: 52.569, variance: 915.685, msg_id: 103 , time: 404187235 #
source, node_id: 8, sample: 93, mean: 53.189, variance: 926.993, msg_id: 104 , time: 407616906 #
source, node_id: 8, sample: 86, mean: 53.310, variance: 933.413, msg_id: 105 , time: 410726347 #
source, node_id: 8, sample: 17, mean: 53.099, variance: 944.210, msg_id: 106 , time: 413859050 #
source, node_id: 8, sample: 56, mean: 53.189, variance: 943.914, msg_id: 107 , time: 417234109 #
