source, node_id: 4, sample: 26, mean: 55.909, variance: 1028.522 , time: 2744895088 #
source, node_id: 4, sample: 99, mean: 56.060, variance: 1039.176 , time: 2750379341 #
source, node_id: 4, sample: 82, mean: 56.029, variance: 1037.529 , time: 2756371561 #
source, node_id: 4, sample: 61, mean: 55.639, variance: 1018.290 , time: 2761293534 #
source, node_id: 4, sample: 84, mean: 55.930, variance: 1026.245 , time: 2766488791 #
source, node_id: 4, sample: 15, mean: 55.319, variance: 1038.597 , time: 2771176385 #
source, node_id: 4, sample: 46, mean: 54.909, variance: 1029.261 , time: 2775949741 #
source, node_id: 4, sample: 57, mean: 54.779, variance: 1027.011 , time: 2780277782 #
source, node_id: 4, sample: 8, mean: 54.529, variance: 1044.089 , time: 2786004132 #
source, node_id: 4, sample: 57, mean: 54.619, variance: 1043.715 , time: 2790848198 #
source, node_id: 4, sample: 80, mean: 55.069, variance: 1046.105 , time: 2795762099 #
source, node_id: 4, sample: 51, mean: 54.779, variance: 1039.971 , time: 2801543501 #
source, node_id: 4, sample: 58, mean: 55.169, variance: 1027.121 , time: 2806285632 #
source, node_id: 4, sample: 101, mean: 55.200, variance: 1029.780 , time: 2810957717 #
source, node_id: 4, sample: 4, mean: 54.630, variance: 1055.333 , time: 2816902647 #
source, node_id: 4, sample: 71, mean: 54.659, variance: 1056.224 , time: 2821340456 #
source, node_id: 4, sample: 68, mean: 54.470, variance: 1047.509 , time: 2826863783 #
source, node_id: 4, sample: 23, mean: 54.000, variance: 1054.780 , time: 2831238090 #
source, node_id: 4, sample: 94, mean: 54.770, variance: 1056.497 , time: 2835449682 #
source, node_id: 4, sample: 73, mean: 55.439, variance: 1035.586 , time: 2839965317 #
source, node_id: 4, sample: 40, mean: 55.029, variance: 1031.269 , time: 2845629293 #
source, node_id: 4, sample: 11, mean: 54.819, variance: 1045.307 , time: 2851160687 #
source, node_id: 4, sample: 90, mean: 54.889, variance: 1049.737 , time: 2856652889 #
source, node_id: 4, sample: 69, mean: 55.000, variance: 1051.620 , time: 2861074026 #
source, node_id: 4, sample: 92, mean: 55.470, variance: 1064.088 , time: 2865769940 #
source, node_id: 4, sample: 29, mean: 55.560, variance: 1058.506 , time: 2869957575 #
source, node_id: 4, sample: 76, mean: 56.270, variance: 1036.617 , time: 2874840323 #
source, node_id: 4, sample: 7, mean: 56.220, variance: 1041.291 , time: 2878965153 #
source, node_id: 4, sample: 54, mean: 56.610, variance: 1024.197 , time: 2883926309 #
source, node_id: 4, sample: 17, mean: 56.080, variance: 1037.813 , time: 2888191736 #
source, node_id: 4, sample: 48, mean: 56.409, variance: 1021.481 , time: 2892605999 #
source, node_id: 4, sample: 57, mean: 56.279, variance: 1019.621 , time: 2897887269 #
source, node_id: 4, sample: 88, mean: 56.669, variance: 1029.001 , time: 2903488602 #
source, node_id: 4, sample: 51, mean: 57.099, variance: 1005.449 , time: 2907707394 #
source, node_id: 4, sample: 58, mean: 56.770, variance: 993.856 , time: 2913643106 #
source, node_id: 4, sample: 53, mean: 56.720, variance: 993.981 , time: 2919254285 #
source, node_id: 4, sample: 28, mean: 56.470, variance: 1002.029 , time: 2924887171 #
source, node_id: 4, sample: 15, mean: 56.180, variance: 1017.587 , time: 2930762216 #
source, node_id: 4, sample: 76, mean: 56.490, variance: 1020.169 , time: 2936473217 #
source, node_id: 4, sample: 15, mean: 55.799, variance: 1029.340 , time: 2942285726 #
source, node_id: 4, sample: 6, mean: 54.830, variance: 1030.920 , time: 2946683860 #
source, node_id: 4, sample: 105, mean: 55.020, variance: 1046.339 , time: 2951137285 #
source, node_id: 4, sample: 40, mean: 54.689, variance: 1045.254 , time: 2955488768 #
source, node_id: 4, sample: 11, mean: 53.779, variance: 1041.131 , time: 2961457526 #
source, node_id: 4, sample: 58, mean: 53.549, variance: 1033.847 , time: 2966137231 #
source, node_id: 4, sample: 5, mean: 53.520, variance: 1036.669 , time: 2971496466 #
source, node_id: 4, sample: 60, mean: 54.009, variance: 1018.770 , time: 2975879155 #
source, node_id: 4, sample: 69, mean: 54.599, variance: 1001.300 , time: 2981504418 #
source, node_id: 4, sample: 4, mean: 54.029, variance: 1026.169 , time: 2986074418 #
source, node_id: 4, sample: 63, mean: 54.240, variance: 1025.482 , time: 2991637250 #
source, node_id: 4, sample: 102, mean: 54.250, variance: 1026.427 , time: 2996785762 #
source, node_id: 4, sample: 65, mean: 54.139, variance: 1022.840 , time: 3000988803 #
source, node_id: 4, sample: 40, mean: 54.069, variance: 1024.324 , time: 3006090343 #
source, node_id: 4, sample: 83, mean: 54.279, variance: 1032.021 , time: 3011809005 #
source, node_id: 4, sample: 10, mean: 54.209, variance: 1037.725 , time: 3017238811 #
source, node_id: 4, sample: 45, mean: 53.639, variance: 1015.410 , time: 3022348162 #
source, node_id: 4, sample: 98, mean: 53.650, variance: 1016.287 , time: 3027481006 #
source, node_id: 4, sample: 85, mean: 53.860, variance: 1025.000 , time: 3032027633 #
source, node_id: 4, sample: 12, mean: 53.389, variance: 1042.038 , time: 3037348065 #
source, node_id: 4, sample: 31, mean: 53.619, variance: 1026.395 , time: 3042660679 #
source, node_id: 4, sample: 52, mean: 53.790, variance: 1022.925 , time: 3048559114 #
source, node_id: 4, sample: 7, mean: 53.520, variance: 1040.829 , time: 3053808901 #
source, node_id: 4, sample: 78, mean: 54.250, variance: 1022.747 , time: 3058394882 #
source, node_id: 4, sample: 41, mean: 54.299, variance: 1021.169 , time: 3062785730 #
source, node_id: 4, sample: 70, mean: 54.150, variance: 1014.187 , time: 3067824765 #
source, node_id: 4, sample: 49, mean: 53.720, variance: 999.941 , time: 3072652678 #
source, node_id: 4, sample: 72, mean: 54.209, variance: 993.605 , time: 3076879228 #
source, node_id: 4, sample: 67, mean: 53.860, variance: 972.280 , time: 3082223000 #
source, node_id: 4, sample: 40, mean: 54.090, variance: 960.562 , time: 3087777565 #
source, node_id: 4, sample: 11, mean: 53.319, variance: 967.037 , time: 3092058863 #
source, node_id: 4, sample: 74, mean: 53.009, variance: 944.510 , time: 3097300888 #
source, node_id: 4, sample: 69, mean: 52.740, variance: 928.512 , time: 3102473027 #
source, node_id: 4, sample: 68, mean: 53.150, variance: 924.047 , time: 3106918198 #
source, node_id: 4, sample: 101, mean: 53.659, variance: 946.584 , time: 3111855999 #
source, node_id: 4, sample: 20, mean: 53.090, variance: 952.141 , time: 3116488452 #
source, node_id: 4, sample: 71, mean: 52.900, variance: 941.689 , time: 3121363681 #
source, node_id: 4, sample: 38, mean: 52.430, variance: 933.385 , time: 3126074537 #
source, node_id: 4, sample: 57, mean: 52.319, variance: 931.157 , time: 3131090207 #
source, node_id: 4, sample: 72, mean: 52.409, variance: 933.881 , time: 3135254275 #
source, node_id: 4, sample: 51, mean: 52.880, variance: 910.245 , time: 3139285506 #
