aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 43637920 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 1 , time: 44747297 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 48372296 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 50630109 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 53536443 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 55801987 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 59169252 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 60145735 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 64223860 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 64731673 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 69489485 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 70020736 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 74528547 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 74770734 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 78528617 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 80723861 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 84309816 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 1 , time: 85551983 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 89192629 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 89216048 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 93442629 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 94051985 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 97934815 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 99114485 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 102809816 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 103028547 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 107731692 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 108700423 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 112637941 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 112724927 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 117098858 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 117864483 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 122231673 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 122919172 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 127934815 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 127973858 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 129950423 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 133786358 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 134926983 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 138575419 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 139911360 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 1 , time: 143731672 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 144411358 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 1 , time: 148208234 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 148872297 #
aggregator, node_id: 3, sample: 0.000, missed_samples: 0 , time: 153856672 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 154145734 #
