aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 85173000 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 89122306 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 92591057 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 96512932 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 100552014 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 104630120 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 107864493 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 111966058 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 115583245 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 118950432 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 123958235 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 127887924 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 132114488 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 135786363 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 139536363 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 143731676 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 148708235 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 153575424 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 156919176 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 160981675 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 164989489 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 169239490 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 172528553 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 175919178 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 180356677 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 184723872 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 188622308 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 191989495 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 195778557 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 199903557 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 203458245 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 207411368 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 211551995 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 215669181 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 219301993 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 223356683 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 227114495 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 230411370 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 235036370 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 238801995 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 243747310 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 248270746 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 252692620 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 257325432 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 262231683 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 267036370 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 271841394 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 275239495 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 279075420 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 283778632 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 287098870 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 291525416 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 295431600 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 298856682 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 303309810 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 306942621 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 310934808 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 314966059 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 318317619 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 322801993 #
