aggregator, node_id: 2, sample: 38.197, missed_samples: 0 , time: 64779477 #
aggregator, node_id: 2, sample: 56.952, missed_samples: 0 , time: 70591997 #
aggregator, node_id: 2, sample: 23.354, missed_samples: 0 , time: 75084193 #
aggregator, node_id: 2, sample: 64.139, missed_samples: 0 , time: 79646673 #
aggregator, node_id: 2, sample: 64.934, missed_samples: 0 , time: 84912300 #
aggregator, node_id: 2, sample: 83.741, missed_samples: 0 , time: 90599804 #
aggregator, node_id: 2, sample: 58.345, missed_samples: 0 , time: 94779480 #
aggregator, node_id: 2, sample: 71.385, missed_samples: 0 , time: 100341983 #
aggregator, node_id: 2, sample: 48.177, missed_samples: 0 , time: 105295114 #
aggregator, node_id: 2, sample: 49.389, missed_samples: 0 , time: 110084173 #
aggregator, node_id: 2, sample: 65.468, missed_samples: 0 , time: 115849809 #
aggregator, node_id: 2, sample: 56.414, missed_samples: 0 , time: 119865419 #
aggregator, node_id: 2, sample: 55.073, missed_samples: 0 , time: 124130985 #
aggregator, node_id: 2, sample: 40.935, missed_samples: 0 , time: 128881073 #
aggregator, node_id: 2, sample: 54.250, missed_samples: 0 , time: 134545078 #
aggregator, node_id: 2, sample: 53.896, missed_samples: 0 , time: 139506057 #
aggregator, node_id: 2, sample: 27.610, missed_samples: 1 , time: 144927924 #
aggregator, node_id: 2, sample: 46.309, missed_samples: 0 , time: 149420112 #
aggregator, node_id: 2, sample: 59.895, missed_samples: 0 , time: 154615422 #
aggregator, node_id: 2, sample: 50.405, missed_samples: 0 , time: 159748251 #
aggregator, node_id: 2, sample: 90.788, missed_samples: 0 , time: 165263850 #
aggregator, node_id: 2, sample: 19.001, missed_samples: 0 , time: 169943382 #
aggregator, node_id: 2, sample: 37.196, missed_samples: 0 , time: 174459184 #
aggregator, node_id: 2, sample: 41.287, missed_samples: 0 , time: 178966987 #
aggregator, node_id: 2, sample: 60.371, missed_samples: 0 , time: 184381050 #
aggregator, node_id: 2, sample: 51.749, missed_samples: 0 , time: 190076370 #
aggregator, node_id: 2, sample: 51.816, missed_samples: 0 , time: 195248237 #
aggregator, node_id: 2, sample: 77.044, missed_samples: 0 , time: 200529416 #
aggregator, node_id: 2, sample: 59.293, missed_samples: 0 , time: 205631032 #
aggregator, node_id: 2, sample: 24.891, missed_samples: 0 , time: 211599783 #
aggregator, node_id: 2, sample: 53.774, missed_samples: 1 , time: 216881067 #
aggregator, node_id: 2, sample: 43.105, missed_samples: 0 , time: 222279491 #
aggregator, node_id: 2, sample: 28.912, missed_samples: 0 , time: 227998258 #
aggregator, node_id: 2, sample: 32.890, missed_samples: 0 , time: 232607595 #
aggregator, node_id: 2, sample: 47.605, missed_samples: 0 , time: 237795104 #
aggregator, node_id: 2, sample: 53.980, missed_samples: 0 , time: 242756056 #
aggregator, node_id: 2, sample: 59.835, missed_samples: 0 , time: 247342012 #
aggregator, node_id: 2, sample: 38.292, missed_samples: 0 , time: 251974797 #
aggregator, node_id: 2, sample: 46.964, missed_samples: 0 , time: 256888884 #
aggregator, node_id: 2, sample: 34.711, missed_samples: 0 , time: 261576364 #
aggregator, node_id: 2, sample: 47.810, missed_samples: 0 , time: 266365433 #
aggregator, node_id: 2, sample: 64.528, missed_samples: 0 , time: 271771654 #
aggregator, node_id: 2, sample: 40.701, missed_samples: 0 , time: 277279502 #
aggregator, node_id: 2, sample: 69.817, missed_samples: 1 , time: 282615396 #
aggregator, node_id: 2, sample: 44.247, missed_samples: 0 , time: 287670111 #
aggregator, node_id: 2, sample: 53.190, missed_samples: 0 , time: 293709158 #
aggregator, node_id: 2, sample: 49.137, missed_samples: 0 , time: 298021663 #
aggregator, node_id: 2, sample: 63.881, missed_samples: 0 , time: 303193554 #
aggregator, node_id: 2, sample: 44.140, missed_samples: 1 , time: 308779508 #
aggregator, node_id: 2, sample: 28.724, missed_samples: 1 , time: 314318588 #
aggregator, node_id: 2, sample: 28.558, missed_samples: 0 , time: 319529505 #
aggregator, node_id: 2, sample: 12.582, missed_samples: 0 , time: 323631044 #
aggregator, node_id: 2, sample: 33.017, missed_samples: 0 , time: 328740326 #
aggregator, node_id: 2, sample: 16.309, missed_samples: 0 , time: 333810743 #
aggregator, node_id: 2, sample: 40.575, missed_samples: 0 , time: 338796342 #
aggregator, node_id: 2, sample: 30.192, missed_samples: 0 , time: 344710550 #
aggregator, node_id: 2, sample: 34.474, missed_samples: 0 , time: 348951380 #
aggregator, node_id: 2, sample: 16.477, missed_samples: 0 , time: 354287306 #
aggregator, node_id: 2, sample: 84.543, missed_samples: 0 , time: 358632270 #
