aggregator, node_id: 2, sample: 58.474, missed_samples: 0 , time: 218513855 #
aggregator, node_id: 3, sample: 64.565, missed_samples: 0 , time: 220045090 #
aggregator, node_id: 2, sample: 47.706, missed_samples: 0 , time: 223763869 #
aggregator, node_id: 3, sample: 36.117, missed_samples: 0 , time: 224631050 #
aggregator, node_id: 2, sample: 26.972, missed_samples: 0 , time: 228951380 #
aggregator, node_id: 3, sample: 28.826, missed_samples: 0 , time: 229396679 #
aggregator, node_id: 2, sample: 65.587, missed_samples: 0 , time: 233373223 #
aggregator, node_id: 3, sample: 42.492, missed_samples: 0 , time: 234154494 #
aggregator, node_id: 2, sample: 52.025, missed_samples: 1 , time: 238513775 #
aggregator, node_id: 3, sample: 26.798, missed_samples: 0 , time: 239193545 #
aggregator, node_id: 2, sample: 79.282, missed_samples: 0 , time: 243310734 #
aggregator, node_id: 3, sample: 59.160, missed_samples: 0 , time: 244326367 #
aggregator, node_id: 2, sample: 31.440, missed_samples: 0 , time: 247748262 #
aggregator, node_id: 3, sample: 44.380, missed_samples: 0 , time: 249459179 #
aggregator, node_id: 2, sample: 43.194, missed_samples: 0 , time: 252935746 #
aggregator, node_id: 3, sample: 38.834, missed_samples: 0 , time: 255382115 #
aggregator, node_id: 2, sample: 33.775, missed_samples: 0 , time: 258802943 #
aggregator, node_id: 3, sample: 47.761, missed_samples: 0 , time: 260677926 #
aggregator, node_id: 2, sample: 40.408, missed_samples: 0 , time: 263693533 #
aggregator, node_id: 3, sample: 70.633, missed_samples: 0 , time: 265326351 #
aggregator, node_id: 2, sample: 47.243, missed_samples: 0 , time: 267826380 #
aggregator, node_id: 3, sample: 66.614, missed_samples: 0 , time: 270998232 #
aggregator, node_id: 2, sample: 12.950, missed_samples: 0 , time: 272779504 #
aggregator, node_id: 3, sample: 58.794, missed_samples: 0 , time: 275577239 #
aggregator, node_id: 2, sample: 28.688, missed_samples: 0 , time: 276912300 #
aggregator, node_id: 3, sample: 64.320, missed_samples: 0 , time: 280888863 #
aggregator, node_id: 2, sample: 70.120, missed_samples: 0 , time: 282456846 #
aggregator, node_id: 3, sample: 64.097, missed_samples: 0 , time: 286263774 #
aggregator, node_id: 2, sample: 28.013, missed_samples: 0 , time: 287974727 #
aggregator, node_id: 3, sample: 57.128, missed_samples: 0 , time: 291341996 #
aggregator, node_id: 2, sample: 26.791, missed_samples: 0 , time: 292792802 #
aggregator, node_id: 3, sample: 68.435, missed_samples: 0 , time: 296537304 #
