aggregator, node_id: 1, sample: 56.952, missed_samples: 0 , time: 70599808 #
aggregator, node_id: 1, sample: 23.354, missed_samples: 0 , time: 75092004 #
aggregator, node_id: 1, sample: 64.139, missed_samples: 0 , time: 79646672 #
aggregator, node_id: 1, sample: 64.934, missed_samples: 0 , time: 84912300 #
aggregator, node_id: 1, sample: 83.741, missed_samples: 0 , time: 90599803 #
aggregator, node_id: 1, sample: 58.345, missed_samples: 0 , time: 94787292 #
aggregator, node_id: 1, sample: 71.385, missed_samples: 0 , time: 100349794 #
aggregator, node_id: 1, sample: 48.177, missed_samples: 0 , time: 105302925 #
aggregator, node_id: 1, sample: 49.389, missed_samples: 0 , time: 110084172 #
aggregator, node_id: 1, sample: 65.468, missed_samples: 0 , time: 115857619 #
aggregator, node_id: 1, sample: 56.414, missed_samples: 0 , time: 119873233 #
aggregator, node_id: 1, sample: 55.073, missed_samples: 0 , time: 124138798 #
aggregator, node_id: 1, sample: 40.935, missed_samples: 0 , time: 128888885 #
aggregator, node_id: 1, sample: 54.250, missed_samples: 0 , time: 134552890 #
aggregator, node_id: 1, sample: 53.896, missed_samples: 0 , time: 139513864 #
aggregator, node_id: 1, sample: 27.610, missed_samples: 1 , time: 144935738 #
aggregator, node_id: 1, sample: 46.309, missed_samples: 0 , time: 149427926 #
aggregator, node_id: 1, sample: 59.895, missed_samples: 0 , time: 154615421 #
aggregator, node_id: 1, sample: 50.405, missed_samples: 0 , time: 159756063 #
aggregator, node_id: 1, sample: 90.788, missed_samples: 0 , time: 165271663 #
aggregator, node_id: 1, sample: 19.001, missed_samples: 0 , time: 169951195 #
aggregator, node_id: 1, sample: 37.196, missed_samples: 0 , time: 174466996 #
aggregator, node_id: 1, sample: 41.287, missed_samples: 0 , time: 178974798 #
aggregator, node_id: 1, sample: 60.371, missed_samples: 0 , time: 184388864 #
aggregator, node_id: 1, sample: 51.749, missed_samples: 0 , time: 190084181 #
aggregator, node_id: 1, sample: 51.816, missed_samples: 0 , time: 195256050 #
aggregator, node_id: 1, sample: 77.044, missed_samples: 0 , time: 200537230 #
aggregator, node_id: 1, sample: 59.293, missed_samples: 0 , time: 205638844 #
