[INFO: Main      ] Starting Contiki-NG
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 2
[INFO: Main      ] Link-layer address: 0012.7402.0002.0202
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:7402:2:202
[INFO: Sky       ] CC2420 CCA threshold -45
aggregator, node_id: 2, sample: 57.333, missed_samples: 0, msg_ids_in_msg: [1, 1, 1], node_ids_in_msg: [4, 5, 6] , time: 4086572 #
aggregator, node_id: 2, sample: 65.130, missed_samples: 0, msg_ids_in_msg: [2, 2, 2], node_ids_in_msg: [4, 5, 6] , time: 7881576 #
aggregator, node_id: 2, sample: 63.303, missed_samples: 0, msg_ids_in_msg: [3, 3, 3], node_ids_in_msg: [4, 5, 6] , time: 12320470 #
aggregator, node_id: 2, sample: 72.361, missed_samples: 0, msg_ids_in_msg: [4, 4, 4], node_ids_in_msg: [4, 5, 6] , time: 16765763 #
aggregator, node_id: 2, sample: 65.321, missed_samples: 1, msg_ids_in_msg: [5, 5, 5], node_ids_in_msg: [4, 5, 6] , time: 21093900 #
aggregator, node_id: 2, sample: 20.769, missed_samples: 0, msg_ids_in_msg: [6, 6, 7], node_ids_in_msg: [4, 5, 6] , time: 25070492 #
aggregator, node_id: 2, sample: 57.478, missed_samples: 0, msg_ids_in_msg: [7, 7, 8], node_ids_in_msg: [4, 5, 6] , time: 29750126 #
aggregator, node_id: 2, sample: 26.074, missed_samples: 0, msg_ids_in_msg: [8, 8, 9], node_ids_in_msg: [4, 5, 6] , time: 33124941 #
aggregator, node_id: 2, sample: 45.555, missed_samples: 0, msg_ids_in_msg: [9, 9, 10], node_ids_in_msg: [4, 5, 6] , time: 37516074 #
aggregator, node_id: 2, sample: 59.522, missed_samples: 0, msg_ids_in_msg: [10, 10, 11], node_ids_in_msg: [4, 5, 6] , time: 41101795 #
aggregator, node_id: 2, sample: 57.838, missed_samples: 0, msg_ids_in_msg: [11, 11, 12], node_ids_in_msg: [4, 5, 6] , time: 45809426 #
aggregator, node_id: 2, sample: 53.782, missed_samples: 0, msg_ids_in_msg: [12, 12, 13], node_ids_in_msg: [4, 5, 6] , time: 50090664 #
aggregator, node_id: 2, sample: 52.597, missed_samples: 0, msg_ids_in_msg: [13, 13, 14], node_ids_in_msg: [4, 5, 6] , time: 53645346 #
aggregator, node_id: 2, sample: 71.802, missed_samples: 0, msg_ids_in_msg: [14, 14, 15], node_ids_in_msg: [4, 5, 6] , time: 57043745 #
aggregator, node_id: 2, sample: 67.609, missed_samples: 0, msg_ids_in_msg: [15, 15, 16], node_ids_in_msg: [4, 5, 6] , time: 61298771 #
aggregator, node_id: 2, sample: 78.818, missed_samples: 0, msg_ids_in_msg: [16, 16, 17], node_ids_in_msg: [4, 5, 6] , time: 64918737 #
